Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
PCB,JLCPCB,1,145.57,145.57,https://jlcpcb.com,146
Pinecil V2,Solder Iron,1,OWNED,0,OWNED,0
Case,Print Legion Shipment ,1,6,6,hackclub.com,6
Akko switches,Switch Set (45),2,14.00,28.00,https://stackskb.com/store/akko-v3-cream-black-pro-switch-pack-of-45/,28
Keycaps,keycaps,1,16.69,16.69,https://stackskb.com/store/stackspbt-lavender-mda-profile-keycaps-131-key/,16.69
Oled display,0.91 display,1,2.23,2.23,https://robocraze.com/products/0-91-inch-blue-oled-display-module?_pos=1&_psq=oled+0.&_ss=e&_v=1.0,2.23
Vertical Rotary Encoder,rotary,1,2,2,https://www.amazon.in/CentIoT-Encoder-Digital-Potentiometer-Control/dp/B0888RWNM1?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A34QREQHZ8C5B0,2
Rotary Cap,cap,1,0.4,0.4,https://robu.in/product/potentiometer-knob-rotary-switch-cap-black-color-pack-of-5-pcs/,0.4
"M2 SCREW , HEX , WASHER",misc,6,0.8,0.8,https://onlyscrews.in/products/m2-nut-ss-304?_pos=1&_sid=ba7183d1e&_ss=r,0.8
,,,,,,
,,,,,,
,,,,,,
,,,,,TOTAL,201.34


